group,day,time,week_type,subject,lesson_type,teacher,classroom
ПМИ-51,пн,08:30-10:00,каждую неделю,Алгебра и геометрия,Лекция,Чубич В. М.,1-426
ПМИ-51,пн,10:15-11:45,каждую неделю,История России,Лекция,Степаненко Л. В.,1-426
ПМИ-51,пн,12:00-13:30,каждую неделю,Иностранный язык,Практика, ,5-287
ПМИ-51,пн,14:00-15:30,по чётным,Алгебра и геометрия,Практика,Чубич В. М.,1-212
ПМИ-51,пн,15:45-17:15,каждую неделю,, , ,
ПМИ-51,пн,17:30-19:00,каждую неделю,, , ,
ПМИ-51,пн,19:15-20:45,каждую неделю,, , ,
ПМИ-51,пн,21:00-22:30,каждую неделю,, , ,
ПМИ-51,вт,08:30-10:00,недели 1 2 3 4 5 6 7 8 9,Основы российской государственности,Практика,Юрченко Е. К.,2-424а
ПМИ-51,вт,08:30-10:00,недели 10 11 12 13 14 15 16 17 18,Основы российской государственности,Практика,Пономарев И. И.,2-424а
ПМИ-51,вт,10:15-11:45,каждую неделю,Информационные технологии и основы программирования,Практика,Целебровская М. Ю.,"1-203а, 1-203б"
ПМИ-51,вт,12:00-13:30,по чётным,Информационные технологии и основы программирования,Лекция,Целебровская М. Ю.,2-516
ПМИ-51,вт,12:00-13:30,по нечётным,Теория вычислительных процессов и структур,Лекция,Целебровская М. Ю.,2-516
ПМИ-51,вт,14:00-15:30,каждую неделю,Математический анализ,Лекция,Исаева Е. В.,2-516
ПМИ-51,вт,15:45-17:15,каждую неделю,, , ,
ПМИ-51,вт,17:30-19:00,каждую неделю,, , ,
ПМИ-51,вт,19:15-20:45,каждую неделю,, , ,
ПМИ-51,вт,21:00-22:30,каждую неделю,, , ,
ПМИ-51,ср,08:30-10:00,каждую неделю,История России,Лекция,Степаненко Л. В.,1-426
ПМИ-51,ср,10:15-11:45,каждую неделю,История России,Практика,Степаненко Л. В.,2-424
ПМИ-51,ср,12:00-13:30,по чётным,Математический анализ,Практика,Исаева Е. В.,2-408
ПМИ-51,ср,12:00-13:30,по нечётным,Алгебра и геометрия,Практика,Чубич В. М.,1-212
